S_NO,NAME_OF_THE_VESSEL,QUANTITY,DISCHARGE_COMPLETED,PORT,pono,SUPPLIER,,A,B,C
4,M.V LI DIAN,53200,27.12.2018,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,27,12,18
5,M.V KIRANA NAREE,56000,03.01.2019,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,3,1,19
6,M.V THOR MADOC,50750,05.02.2019,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,5,2,19
7,M.V PYXIS,53020,18.02.2019,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,18,2,19
8,M.V CRESTONE,50700,03.03.2019,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,3,3,19
9,M.V GDF SUEZ NORTH SEA,55840,10.03.2019,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,10,3,19
10,M.V DENSA DOLPHIN,58380,08.04.2019,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,8,4,19
11,M.V  TETON,48000,27.04.2019,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,27,4,19
12,M.V GLOBAL HARMONY,34600,01-05-1900,TUTICORIN ,114,m/s_mbg_commodities_pvt_ltd,,28,5,19
13,M.V GLORY,74200,29.10.18,ENNORE ,114,m/s_mbg_commodities_pvt_ltd,,29,10,18
14,M.V DL DAHLIA,78730,18.11.18,ENNORE ,114,m/s_mbg_commodities_pvt_ltd,,18,11,18
1,DIRECT PURCHASE,35000,31.10.2018,ENNORE,115,m/s._adani_enterpris,,31,10,18
1,DIRECT PURCHASE,40000,"31,10,2018",CICTPL-METTUR,116,m/s_yasin_impex_indi,,31,10,18
1,M.V TAURUS OCEAN,76205,29.11.18,ENNORE ,117,m/s_mbg_commodities_,,29,11,18
2,M.V KONA TRADER,74018,07.12.18,ENNORE ,117,m/s_mbg_commodities_,,7,12,18
3,M.V ARGOLIS,73500,25.12.18,ENNORE ,117,m/s_mbg_commodities_,,25,12,18
4,M.V LYRIC SUN,78432,10.01.19,ENNORE ,117,m/s_mbg_commodities_,,10,1,19
